id,name,price,category,description,image_url,shopee_url,allow_booking,allow_order
kmo-001,แคสบาร์ล่าง+แล็คใส่ปี๊ป - Africa Twin 2020,0,crashbar,งานคัสตอม KMO สำหรับ Africa Twin 2020 รายการ: แคสบาร์ล่าง+แล็คใส่ปี๊ป,assets/images/crashbar.jpg,,TRUE,TRUE
kmo-002,เสริมความแข็งแรงแร็คท้ายเพื่อรับน้ำหนัก และแรงกระแทก - Aprilia Sr gt200,0,rear,งานคัสตอม KMO สำหรับ Aprilia Sr gt200 รายการ: เสริมความแข็งแรงแร็คท้ายเพื่อรับน้ำหนัก และแรงกระแทก,assets/images/rack-rear-adv.jpg,,TRUE,TRUE
kmo-003,แคสบาร์ - Aprilia SRGT200,0,crashbar,งานคัสตอม KMO สำหรับ Aprilia SRGT200 รายการ: แคสบาร์,assets/images/crashbar.jpg,,TRUE,TRUE
kmo-004,แร็คท้าย - BAJAJ Dominar400,0,rear,งานคัสตอม KMO สำหรับ BAJAJ Dominar400 รายการ: แร็คท้าย,assets/images/rack-rear-adv.jpg,,TRUE,TRUE
kmo-005,แร็คท้าย + แร็คข้าง - Bajaj Dominar400 touring,0,side,งานคัสตอม KMO สำหรับ Bajaj Dominar400 touring รายการ: แร็คท้าย + แร็คข้าง,assets/images/rack-side.jpg,,TRUE,TRUE
kmo-006,แร็คท้ายสีดำ - Bajaj Dominar 400,0,rear,งานคัสตอม KMO สำหรับ Bajaj Dominar 400 รายการ: แร็คท้ายสีดำ,assets/images/rack-rear-adv.jpg,,TRUE,TRUE
kmo-007,แร็คท้าย แข็งแรง แบบ 40 กิโล ทุกวัน ขอมีมือจับด้วย - benelli tnt300,0,rear,งานคัสตอม KMO สำหรับ benelli tnt300 รายการ: แร็คท้าย แข็งแรง แบบ 40 กิโล ทุกวัน ขอมีมือจับด้วย,assets/images/rack-rear-adv.jpg,,TRUE,TRUE
kmo-008,แคชบาร์ - BMW F700GS 2013,0,crashbar,งานคัสตอม KMO สำหรับ BMW F700GS 2013 รายการ: แคชบาร์,assets/images/crashbar.jpg,,TRUE,TRUE
kmo-009,แร็คท้าย - BMW F900,0,rear,งานคัสตอม KMO สำหรับ BMW F900 รายการ: แร็คท้าย,assets/images/rack-rear-adv.jpg,,TRUE,TRUE
kmo-010,แก้ไขแร็คข้าง ทรงshad 3p - BMW F900xr,0,side,งานคัสตอม KMO สำหรับ BMW F900xr รายการ: แก้ไขแร็คข้าง ทรงshad 3p,assets/images/rack-side.jpg,,TRUE,TRUE
